job,status,date
Инцидент-менеджер,Тестовое,03/01/2022
Менеджер по продажам,Обсуждение,03/01/2022
Frontend Developer,Обсуждение,03/01/2022
Project Manager,Обсуждение,03/01/2022
Офис-менеджер,Первичный звонок,03/01/2022
Бухгалтер,Тестовое,03/01/2022
Релиз-менеджер,Общаемся,03/01/2022
Контент-менеджер,Испытательный,03/02/2022
HR,Тестовое,03/02/2022
Менеджер по продажам,В штате,03/02/2022
Backend Developer,Тестовое,03/02/2022
Офис-менеджер,Тестовое,03/02/2022
Системные аналитики,Интервью,03/02/2022
Релиз-менеджер,Подготовительный,03/02/2022
Релиз-менеджер,Интервью,03/02/2022
Релиз-менеджер,отказать,03/02/2022
Релиз-менеджер,Тестовое,03/02/2022
Релиз-менеджер,Новый,03/02/2022
Технический Писатель,Нет ответа,03/03/2022
Делопроизводитель,отказать,03/03/2022
Frontend Developer,Интервью,03/03/2022
Релиз-менеджер,Общаемся,03/03/2022
Инцидент-менеджер,Новый,03/04/2022
HR,Отказ,03/04/2022
Data Analytics,Первичный звонок,03/04/2022
platformeco,Общаемся,03/04/2022
Backend Developer,Отказался,03/04/2022
Делопроизводитель,Интервью,03/04/2022
Офис-менеджер,Общаемся,03/04/2022
Системные аналитики,Интервью,03/04/2022
Релиз-менеджер,Новый,03/04/2022
Тестировщик,отказать,03/05/2022
Frontend Developer,Отказ,03/05/2022
Project Manager,Обсуждение,03/05/2022
Офис-менеджер,Новый,03/05/2022
Системные аналитики,отказать,03/05/2022
Бухгалтер,отказать,03/05/2022
New candidate,Обсуждение,03/06/2022
New candidate,Отказ,03/06/2022
Data Analytics,отказать,03/06/2022
platformeco,Новый,03/06/2022
Backend Developer,Первичный звонок,03/06/2022
Офис-менеджер,Новый,03/06/2022
Бухгалтер,Отказ,03/06/2022
Бухгалтер,Новый,03/06/2022
Релиз-менеджер,Интервью,03/06/2022
Релиз-менеджер,Общаемся,03/06/2022
Designer,отказать,03/07/2022
Backend Developer,Общаемся,03/07/2022
Frontend Developer,Тестовое,03/07/2022
Системные аналитики,Обсуждение,03/07/2022
Системные аналитики,Отказ,03/07/2022
Бухгалтер,Новый,03/07/2022
Релиз-менеджер,Отказ,03/07/2022
Релиз-менеджер,Тестовое,03/07/2022
Релиз-менеджер,Новый,03/07/2022
Релиз-менеджер,Подготовительный,03/07/2022
Релиз-менеджер,Отказ,03/07/2022
Релиз-менеджер,Тестовое,03/07/2022
МПП Trade,Интервью,03/08/2022
Технический Писатель,Новый,03/08/2022
Project Manager,Новый,03/08/2022
Офис-менеджер,Общаемся,03/08/2022
Системные аналитики,Интервью,03/08/2022
Системные аналитики,Тестовое,03/08/2022
Системные аналитики,Новый,03/08/2022
Системные аналитики,Отказ,03/08/2022
Бухгалтер,отказать,03/08/2022
Релиз-менеджер,Первичный звонок,03/08/2022
HR,отказать,03/09/2022
Data Analytics,Интервью,03/09/2022
Designer,Интервью,03/09/2022
Backend Developer,Интервью,03/09/2022
Делопроизводитель,Новый,03/09/2022
Офис-менеджер,Тестовое,03/09/2022
Бухгалтер,Первичный звонок,03/09/2022
BDM,Отказ,03/10/2022
Project Manager,Обсуждение,03/10/2022
Делопроизводитель,Отказался,03/11/2022
Делопроизводитель,Отказ,03/11/2022
Frontend Developer,отказать,03/11/2022
Офис-менеджер,Бэклог,03/11/2022
Системные аналитики,Интервью,03/11/2022
Бухгалтер,Новый,03/11/2022
Релиз-менеджер,Отказ,03/11/2022
HR,отказать,03/12/2022
Designer,Первичный звонок,03/12/2022
Designer,Новый,03/12/2022
Project Manager,Интервью,03/12/2022
Офис-менеджер,Интервью,03/12/2022
Офис-менеджер,Тестовое,03/12/2022
Системные аналитики,отказать,03/12/2022
Системные аналитики,Интервью,03/12/2022
Бухгалтер,Тестовое,03/12/2022
Бухгалтер,Отказался,03/12/2022
Бухгалтер,Новый,03/12/2022
Бухгалтер,Интервью,03/12/2022
Релиз-менеджер,Отказ,03/12/2022
Релиз-менеджер,Новый,03/12/2022
Релиз-менеджер,Интервью,03/12/2022
Технический Писатель,Новый,03/13/2022
Project Manager,Интервью,03/13/2022
Project Manager,Подготовительный,03/13/2022
Офис-менеджер,Обсуждение,03/13/2022
Бухгалтер,Отказ,03/13/2022
Бухгалтер,Интервью,03/13/2022
Бухгалтер,Нет ответа,03/13/2022
Релиз-менеджер,Отказ,03/13/2022
Контент-менеджер,Новый,03/14/2022
Менеджер по продажам,Интервью,03/14/2022
Технический Писатель,Интервью,03/14/2022
Бухгалтер,отказать,03/14/2022
Релиз-менеджер,Отказ,03/14/2022
Релиз-менеджер,Интервью,03/14/2022
Релиз-менеджер,отказать,03/14/2022
Релиз-менеджер,Отказ,03/14/2022
Релиз-менеджер,Интервью,03/14/2022
Релиз-менеджер,Тестовое,03/14/2022
Backend Developer,Интервью,03/15/2022
Делопроизводитель,Общаемся,03/15/2022
Делопроизводитель,Интервью,03/15/2022
Делопроизводитель,Новый,03/15/2022
Project Manager,Интервью,03/15/2022
Офис-менеджер,Интервью,03/15/2022
Бухгалтер,Новый,03/15/2022
Бухгалтер,Уволен,03/15/2022
DevOps,Новый,03/16/2022
Тестировщик,Общаемся,03/16/2022
platformeco,Подготовительный,03/16/2022
Backend Developer,Общаемся,03/16/2022
Project Manager,Интервью,03/16/2022
Офис-менеджер,Общаемся,03/16/2022
Офис-менеджер,Обсуждение,03/16/2022
Системные аналитики,Интервью,03/16/2022
Бухгалтер,отказать,03/16/2022
Бухгалтер,Отказ,03/16/2022
Бухгалтер,Общаемся,03/16/2022
Бухгалтер,Отказ,03/16/2022
Бухгалтер,Нет ответа,03/16/2022
DevOps,Отказался,03/17/2022
Backend Developer,Новый,03/17/2022
Project Manager,Уволен,03/17/2022
Офис-менеджер,Новый,03/17/2022
Системные аналитики,Интервью,03/17/2022
Системные аналитики,Отказ,03/17/2022
Бухгалтер,Обсуждение,03/17/2022
Делопроизводитель,Тестовое,03/18/2022
Frontend Developer,Бэклог,03/18/2022
Project Manager,Интервью,03/18/2022
Офис-менеджер,Интервью,03/18/2022
Системные аналитики,Новый,03/18/2022
Системные аналитики,Новый,03/18/2022
Системные аналитики,Новый,03/18/2022
Системные аналитики,Общаемся,03/18/2022
Релиз-менеджер,Тестовое,03/18/2022
Релиз-менеджер,Интервью,03/18/2022
Релиз-менеджер,Новый,03/18/2022
Релиз-менеджер,Первичный звонок,03/18/2022
МПП Trade,Первичный звонок,03/19/2022
Тестировщик,Интервью,03/19/2022
Designer,Интервью,03/19/2022
Frontend Developer,Общаемся,03/19/2022
Frontend Developer,Нет ответа,03/19/2022
Системные аналитики,Отказ,03/19/2022
Бухгалтер,Новый,03/19/2022
BDM,Отказ,03/20/2022
Контент-менеджер,Отказ,03/20/2022
Менеджер по продажам,Новый,03/20/2022
Frontend Developer,Новый,03/20/2022
Системные аналитики,Новый,03/20/2022
Бухгалтер,Испытательный,03/20/2022
Бухгалтер,отказать,03/20/2022
Бухгалтер,Обсуждение,03/20/2022
Релиз-менеджер,Тестовое,03/20/2022
platformeco,Первичный звонок,03/21/2022
Технический Писатель,Общаемся,03/21/2022
Технический Писатель,отказать,03/21/2022
Frontend Developer,Отказ,03/21/2022
Релиз-менеджер,Интервью,03/21/2022
Релиз-менеджер,Отказ,03/21/2022
Архитектор,Тестовое,03/22/2022
platformeco,Новый,03/22/2022
Backend Developer,Первичный звонок,03/22/2022
Frontend Developer,Отказ,03/22/2022
Системные аналитики,Отказ,03/22/2022
Системные аналитики,отказать,03/22/2022
Бухгалтер,Интервью,03/22/2022
Релиз-менеджер,Новый,03/22/2022
Релиз-менеджер,Общаемся,03/22/2022
Тестировщик,Новый,03/23/2022
Data Analytics,Новый,03/23/2022
Делопроизводитель,Отказ,03/23/2022
Project Manager,Отказ,03/23/2022
Офис-менеджер,Отказ,03/23/2022
New candidate,Новый,03/24/2022
platformeco,Новый,03/24/2022
Frontend Developer,Отказ,03/24/2022
Project Manager,Интервью,03/24/2022
Project Manager,Подготовительный,03/24/2022
Project Manager,отказать,03/24/2022
Системные аналитики,Подготовительный,03/24/2022
Бухгалтер,Отказ,03/24/2022
Релиз-менеджер,отказать,03/24/2022
Релиз-менеджер,Обсуждение,03/24/2022
Релиз-менеджер,Интервью,03/24/2022
Делопроизводитель,Первичный звонок,03/25/2022
Project Manager,Тестовое,03/25/2022
Релиз-менеджер,Общаемся,03/25/2022
Designer,Тестовое,03/26/2022
Делопроизводитель,отказать,03/26/2022
Frontend Developer,Новый,03/26/2022
Офис-менеджер,Интервью,03/26/2022
Офис-менеджер,Интервью,03/26/2022
Системные аналитики,Новый,03/26/2022
Бухгалтер,Общаемся,03/26/2022
Бухгалтер,Новый,03/26/2022
Бухгалтер,Новый,03/26/2022
Релиз-менеджер,Первичный звонок,03/26/2022
Релиз-менеджер,Новый,03/26/2022
Релиз-менеджер,Отказ,03/26/2022
Релиз-менеджер,Бэклог,03/26/2022
Релиз-менеджер,Оффер,03/26/2022
New candidate,Бэклог,03/27/2022
Менеджер по продажам,Новый,03/27/2022
Project Manager,Отказался,03/27/2022
Офис-менеджер,Новый,03/27/2022
Системные аналитики,Интервью,03/27/2022
Системные аналитики,отказать,03/27/2022
Бухгалтер,Новый,03/27/2022
Бухгалтер,Испытательный,03/27/2022
Релиз-менеджер,отказать,03/27/2022
Релиз-менеджер,отказать,03/27/2022
Data Analytics,Интервью,03/28/2022
Менеджер по продажам,Отказ,03/28/2022
Designer,Общаемся,03/28/2022
Frontend Developer,Интервью,03/28/2022
Системные аналитики,Новый,03/28/2022
Системные аналитики,отказать,03/28/2022
Бухгалтер,Интервью,03/28/2022
Бухгалтер,Общаемся,03/28/2022
Бухгалтер,Отказ,03/28/2022
Релиз-менеджер,Первичный звонок,03/28/2022
Релиз-менеджер,Интервью,03/28/2022
